strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
greedy,10000000000000000000,1,9997000000000000000,30000,False,8,89999999999999984,168421052631578944,100000000000,10000000000000000000,greedy_d2e8429a-c265-40d0-9e03-20a0f4a1b783.json,d2e8429a-c265-40d0-9e03-20a0f4a1b783
greedy,10000000000000000000,1,9994000000000000000,30000,False,3,30000000000000000,102631578947368416,200000000000,10000000000000000000,greedy_03cec94b-007c-41b6-b45c-8cc221fa3c27.json,03cec94b-007c-41b6-b45c-8cc221fa3c27
optimized,200000000000000000000,1,199997000000000000000,30000,False,11,119999999999999984,63157894736842104,100000000000,200000000000000000000,optimized_4fee7176-d397-45aa-b146-6fab62398103.json,4fee7176-d397-45aa-b146-6fab62398103
greedy,50000000000000000000,1,49998500000000000000,30000,False,10,109999999999999968,89473684210526320,50000000000,50000000000000000000,greedy_eabf3255-8ad3-4c83-a928-eba9649732df.json,eabf3255-8ad3-4c83-a928-eba9649732df
uniform,10000000000000000000,5,49997000000000000000,150000,False,9,19999999999999996,102631578947368416,20000000000,50000000000000000000,uniform_69c16928-3261-4fe5-b460-357fe3b58ed7.json,69c16928-3261-4fe5-b460-357fe3b58ed7
optimized,10000000000000000000,1,9999700000000000000,30000,False,10,109999999999999968,128947368421052640,10000000000,10000000000000000000,optimized_192ad2d0-3753-4d2d-9c41-dbd8fe194115.json,192ad2d0-3753-4d2d-9c41-dbd8fe194115
uniform,2000000000000000000,5,9992500000000000000,150000,False,44,109999999999999968,247368421052631584,50000000000,10000000000000000000,uniform_36debeb8-f1d7-41f0-8d92-eabccc516cd9.json,36debeb8-f1d7-41f0-8d92-eabccc516cd9
optimized,100000000000000000000,1,99997000000000000000,30000,False,15,150000000000000000,181578947368421056,100000000000,100000000000000000000,optimized_6195237b-bc45-42da-892c-fc6c426c0fce.json,6195237b-bc45-42da-892c-fc6c426c0fce
optimized,50000000000000000000,1,49998500000000000000,30000,False,6,69999999999999992,286842105263157888,50000000000,50000000000000000000,optimized_5323b26d-d884-42f7-b25d-7e2390d87332.json,5323b26d-d884-42f7-b25d-7e2390d87332
uniform,20000000000000000000,5,99997000000000000000,150000,False,26,59999999999999992,221052631578947328,20000000000,100000000000000000000,uniform_a43122a7-ec3a-47c0-a5c4-0182fca40e3b.json,a43122a7-ec3a-47c0-a5c4-0182fca40e3b
uniform,20000000000000000000,5,99985000000000000000,150000,False,55,150000000000000000,247368421052631584,100000000000,100000000000000000000,uniform_b9548bbe-fc85-47b9-8f7b-ebbf1486e389.json,b9548bbe-fc85-47b9-8f7b-ebbf1486e389
uniform,40000000000000000000,5,199998500000000000000,150000,False,34,79999999999999984,50000000000000000,10000000000,200000000000000000000,uniform_61b3a3f4-78c0-4c63-8ebc-9945d475e2d6.json,61b3a3f4-78c0-4c63-8ebc-9945d475e2d6
uniform,2000000000000000000,5,9997000000000000000,150000,False,14,30000000000000000,260526315789473664,20000000000,10000000000000000000,uniform_794921d7-bc94-42aa-86bf-f15f021c1ed9.json,794921d7-bc94-42aa-86bf-f15f021c1ed9
greedy,10000000000000000000,1,9997000000000000000,30000,False,1,19999999999999996,260526315789473664,100000000000,10000000000000000000,greedy_617b4f5c-2715-4197-aeba-033b7f2a74e0.json,617b4f5c-2715-4197-aeba-033b7f2a74e0
uniform,20000000000000000000,5,99970000000000000000,150000,False,50,129999999999999984,194736842105263168,200000000000,100000000000000000000,uniform_cce48509-2f59-49d5-946d-d98aa3d06887.json,cce48509-2f59-49d5-946d-d98aa3d06887
greedy,50000000000000000000,1,49994000000000000000,30000,False,9,99999999999999984,181578947368421056,200000000000,50000000000000000000,greedy_fd68b1f1-5ce5-4f1e-acf7-315ac6945011.json,fd68b1f1-5ce5-4f1e-acf7-315ac6945011
greedy,50000000000000000000,1,49999400000000000000,30000,False,1,10000000000000000,102631578947368416,20000000000,50000000000000000000,greedy_e71d705f-9194-4295-a4a8-ae2818f8b29f.json,e71d705f-9194-4295-a4a8-ae2818f8b29f
uniform,20000000000000000000,5,99992500000000000000,150000,False,37,89999999999999984,221052631578947328,50000000000,100000000000000000000,uniform_503721ab-2aca-49a2-900b-b76df9b43d45.json,503721ab-2aca-49a2-900b-b76df9b43d45
optimized,200000000000000000000,1,199997000000000000000,30000,False,9,99999999999999984,181578947368421056,100000000000,200000000000000000000,optimized_6fac8720-063c-4533-bac9-79bf44dad83f.json,6fac8720-063c-4533-bac9-79bf44dad83f
uniform,20000000000000000000,5,99992500000000000000,150000,False,22,49999999999999992,194736842105263168,50000000000,100000000000000000000,uniform_04e0e951-4430-4916-854f-10038cea2f28.json,04e0e951-4430-4916-854f-10038cea2f28
optimized,100000000000000000000,1,99998500000000000000,30000,False,4,49999999999999992,76315789473684208,50000000000,100000000000000000000,optimized_3db9b3af-f1ab-4215-861f-076c15b8d331.json,3db9b3af-f1ab-4215-861f-076c15b8d331
uniform,20000000000000000000,5,99992500000000000000,150000,False,4,10000000000000000,207894736842105248,50000000000,100000000000000000000,uniform_e9611a4a-e951-4b5c-8781-728e05fbb332.json,e9611a4a-e951-4b5c-8781-728e05fbb332
greedy,200000000000000000000,1,199998500000000000000,30000,False,15,150000000000000000,63157894736842104,50000000000,200000000000000000000,greedy_140ef083-81d5-428d-8f48-fef5dff4ad9d.json,140ef083-81d5-428d-8f48-fef5dff4ad9d
optimized,50000000000000000000,1,49997000000000000000,30000,False,11,119999999999999984,63157894736842104,100000000000,50000000000000000000,optimized_16b6484d-c8f6-4eba-993c-ac286b1105a2.json,16b6484d-c8f6-4eba-993c-ac286b1105a2
optimized,200000000000000000000,1,199998500000000000000,30000,False,4,49999999999999992,260526315789473664,50000000000,200000000000000000000,optimized_183f86fb-675f-4ab8-b70b-d39cb763cdd3.json,183f86fb-675f-4ab8-b70b-d39cb763cdd3
uniform,40000000000000000000,5,199970000000000000000,150000,False,14,30000000000000000,260526315789473664,200000000000,200000000000000000000,uniform_5ae90d54-00a0-4791-bdb6-e3ab05884d46.json,5ae90d54-00a0-4791-bdb6-e3ab05884d46
optimized,50000000000000000000,1,49998500000000000000,30000,False,12,129999999999999984,128947368421052640,50000000000,50000000000000000000,optimized_624d04d1-fb59-41a4-ad4a-562765be3aaf.json,624d04d1-fb59-41a4-ad4a-562765be3aaf
greedy,10000000000000000000,1,9999700000000000000,30000,False,3,39999999999999992,181578947368421056,10000000000,10000000000000000000,greedy_4ba8ee00-73fc-4e76-a242-f77711831cfc.json,4ba8ee00-73fc-4e76-a242-f77711831cfc
uniform,10000000000000000000,5,49997000000000000000,150000,False,4,10000000000000000,221052631578947328,20000000000,50000000000000000000,uniform_b53860f5-fb10-496f-a3ec-cf209ee8248f.json,b53860f5-fb10-496f-a3ec-cf209ee8248f
uniform,10000000000000000000,5,49998500000000000000,150000,False,47,119999999999999984,115789473684210528,10000000000,50000000000000000000,uniform_c5c5ec34-9c02-4ec5-b10c-0b40b5eff4d0.json,c5c5ec34-9c02-4ec5-b10c-0b40b5eff4d0
greedy,10000000000000000000,1,9999700000000000000,30000,False,8,89999999999999984,155263157894736832,10000000000,10000000000000000000,greedy_8bf23962-8dfa-459f-918a-835d3ac0e1cf.json,8bf23962-8dfa-459f-918a-835d3ac0e1cf
uniform,40000000000000000000,5,199997000000000000000,150000,False,47,119999999999999984,181578947368421056,20000000000,200000000000000000000,uniform_091dd512-41f2-477b-b653-073fcf50e407.json,091dd512-41f2-477b-b653-073fcf50e407
uniform,40000000000000000000,5,199998500000000000000,150000,False,47,119999999999999984,142105263157894736,10000000000,200000000000000000000,uniform_4d42463d-fbf5-45f3-96b9-a51270097c06.json,4d42463d-fbf5-45f3-96b9-a51270097c06
optimized,50000000000000000000,1,49998500000000000000,30000,False,1,19999999999999996,102631578947368416,50000000000,50000000000000000000,optimized_2173f3c8-cb0a-4f5f-9ff4-9d0cb3a7eb29.json,2173f3c8-cb0a-4f5f-9ff4-9d0cb3a7eb29
greedy,50000000000000000000,1,49999400000000000000,30000,False,1,19999999999999996,63157894736842104,20000000000,50000000000000000000,greedy_7b90592d-31b1-4553-a546-b22c5b14a433.json,7b90592d-31b1-4553-a546-b22c5b14a433
